Date,Open,High,Low,Close,Adj Close,Volume
1982-10-27,0.000000,17.625000,17.250000,17.250000,7.996004,18800
1982-10-28,0.000000,18.875000,18.500000,18.500000,8.575424,32400
1982-10-29,0.000000,19.000000,18.750000,18.750000,8.691313,19400
1982-11-01,0.000000,18.375000,18.000000,18.000000,8.343663,32600
1982-11-02,0.000000,18.375000,18.125000,18.125000,8.401599,18200
1982-11-03,0.000000,18.500000,18.125000,18.125000,8.401599,25800
1982-11-04,0.000000,18.500000,18.375000,18.375000,8.517480,5400
1982-11-05,0.000000,18.500000,18.375000,18.375000,8.517480,5800
1982-11-08,0.000000,17.875000,17.625000,17.625000,8.169832,8400
1982-11-09,0.000000,18.250000,18.000000,18.000000,8.343663,14400
1982-11-10,0.000000,18.375000,18.000000,18.000000,8.343663,12000
1982-11-11,0.000000,18.375000,18.125000,18.125000,8.401599,10200
1982-11-12,0.000000,18.875000,18.500000,18.500000,8.575424,14800
1982-11-15,0.000000,18.750000,18.500000,18.500000,8.575424,7200
1982-11-16,0.000000,19.250000,19.000000,19.000000,8.807199,30200
1982-11-17,0.000000,19.750000,19.500000,19.500000,9.038966,19000
1982-11-18,0.000000,20.625000,20.125000,20.125000,9.328676,13600
1982-11-19,0.000000,20.000000,19.625000,19.625000,9.096908,31800
1982-11-22,0.000000,19.500000,19.250000,19.250000,8.923074,21400
1982-11-23,0.000000,18.875000,18.625000,18.625000,8.633373,21200
1982-11-24,0.000000,19.000000,18.750000,18.750000,8.691313,7800
1982-11-26,0.000000,19.250000,18.875000,18.875000,8.749258,5000
1982-11-29,0.000000,19.125000,18.750000,18.750000,8.691313,11000
1982-11-30,0.000000,19.000000,18.625000,18.625000,8.633373,1400
1982-12-01,0.000000,19.000000,18.625000,18.625000,8.633373,3600
